Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,V,XOM,^GSPC
2024-01-03,,,,,,,,,,,
2024-01-04,,,,,,,,,,,
2024-01-05,,,,,,,,,,,
2024-01-08,,,,,,,,,,,
2024-01-09,,,,,,,,,,,
2024-01-10,,,,,,,,,,,
2024-01-11,,,,,,,,,,,
2024-01-12,,,,,,,,,,,
2024-01-16,,,,,,,,,,,
2024-01-17,,,,,,,,,,,
2024-01-18,,,,,,,,,,,
2024-01-19,,,,,,,,,,,
2024-01-22,,,,,,,,,,,
2024-01-23,,,,,,,,,,,
2024-01-24,,,,,,,,,,,
2024-01-25,,,,,,,,,,,
2024-01-26,,,,,,,,,,,
2024-01-29,,,,,,,,,,,
2024-01-30,,,,,,,,,,,
2024-01-31,,,,,,,,,,,
2024-02-01,,,,,,,,,,,
2024-02-02,,,,,,,,,,,
2024-02-05,,,,,,,,,,,
2024-02-06,,,,,,,,,,,
2024-02-07,,,,,,,,,,,
2024-02-08,,,,,,,,,,,
2024-02-09,,,,,,,,,,,
2024-02-12,,,,,,,,,,,
2024-02-13,,,,,,,,,,,
2024-02-14,0.18689666785165618,0.3131137011781255,0.2935955833618564,0.10463843456324476,0.12227453883374272,0.18953975599705272,0.16163115281346022,0.4815949118385437,0.12743349346465058,0.19442598826943674,0.11483283158644934
2024-02-15,0.1856723250381931,0.31209739726955255,0.30130558797113943,0.11132294142486271,0.13492028730890293,0.19166107371810576,0.16115943907015118,0.5120236269284457,0.12929632151123624,0.20995820243439853,0.11151717189465245
2024-02-16,0.1835051991265104,0.2985901333563212,0.3000013413157129,0.11124677865820898,0.13540787467458382,0.19119802539189357,0.16089510943276536,0.5120052134770173,0.13309383503253983,0.20813898607686118,0.1121959178146709
2024-02-20,0.18352530714865314,0.30403001711895566,0.29962071038404403,0.11376474713332224,0.1351938679293709,0.1917917129490152,0.1582054963958143,0.5171822458783576,0.13969337862569192,0.21011018630264633,0.11468987114167256
2024-02-21,0.1697080091097103,0.2974418512786093,0.29399654168719214,0.11463154171735775,0.135689562005846,0.18637520591119236,0.1595548965322005,0.515283237114239,0.13763359939959308,0.21125632392475227,0.1088055948071057
2024-02-22,0.1729666908029174,0.30912285123182176,0.292440027839042,0.11931752217171851,0.13566984650630376,0.19593877380349364,0.15957843749423867,0.5162669455727634,0.15309243331379876,0.2071902293049203,0.12202640563006796
2024-02-23,0.17442818320704848,0.30750566350873876,0.2913116364172493,0.12185383290712776,0.13588771967270333,0.19122038885384524,0.1595054590758433,0.5202030111933718,0.153210069550154,0.2066854580999067,0.12170584341345503
